Customer_No,Prediction,Probability_Prediction
90238,0,0.28
90239,0,0.12
90240,0,0.25
90241,0,0.13
90242,0,0.22
90243,0,0.22
90244,1,0.6
90245,0,0.06
90246,0,0.4
90247,0,0.28
90248,0,0.24
90249,0,0.2
90250,0,0.14
90251,0,0.36
90252,0,0.18
90253,0,0.04
90254,0,0.16
90255,0,0.2
90256,0,0.33
90257,0,0.34
90258,0,0.5
90259,0,0.3
90260,0,0.08
90261,0,0.16
90262,0,0.06
90263,0,0.2
90264,0,0.26
90265,0,0.12
90266,0,0.2
90267,0,0.15
90268,1,0.57
90269,0,0.14
90270,0,0.12
90271,0,0.19
90272,0,0.15
90273,0,0.24
90274,0,0.12
90275,0,0.42
90276,0,0.21
90277,0,0.3
90278,0,0.36
90279,0,0.19
90280,1,0.64
90281,0,0.16
90282,0,0.03
90283,0,0.4
90284,0,0.1
90285,0,0.38
90286,0,0.3
90287,0,0.06
90288,0,0.11
90289,0,0.3
90290,0,0.12
90291,1,0.62
90292,0,0.2
90293,0,0.28
90294,0,0.19
90295,0,0.35
90296,0,0.19
90297,0,0.11
90298,0,0.22
90299,0,0.28
90300,0,0.18
90301,0,0.18
90302,0,0.28
90303,0,0.06
90304,0,0.38
90305,0,0.2
90306,0,0.27
90307,0,0.15
90308,0,0.34
90309,0,0.11
90310,0,0.09
90311,0,0.09
90312,1,0.63
90313,0,0.02
90314,0,0.14
90315,0,0.12
90316,0,0.06
90317,0,0.25
90318,0,0.18
90319,0,0.36
90320,0,0.24
90321,0,0.28
90322,0,0.45
90323,0,0.1
90324,0,0.23
90325,0,0.32
90326,0,0.02
90327,0,0.08
90328,0,0.12
90329,0,0.15
90330,0,0.24
90331,0,0.19
90332,0,0.12
90333,0,0.18
90334,0,0.37
90335,0,0.25
90336,0,0.36
90337,0,0.11
90338,0,0.2
90339,0,0.17
90340,0,0.24
90341,0,0.26
90342,0,0.11
90343,0,0.12
90344,0,0.22
90345,0,0.26
90346,0,0.17
90347,0,0.34
90348,0,0.3
90349,0,0.38
90350,0,0.18
90351,0,0.4
90352,0,0.24
90353,0,0.12
90354,0,0.18
90355,0,0.22
90356,0,0.06
90357,0,0.17
90358,0,0.16
90359,0,0.07
90360,0,0.18
90361,0,0.05
90362,0,0.16
90363,0,0.04
90364,0,0.26
90365,0,0.18
90366,0,0.28
90367,0,0.22
90368,0,0.18
90369,0,0.02
90370,0,0.35
90371,0,0.46
90372,0,0.49
90373,0,0.04
90374,0,0.37
90375,1,0.72
90376,0,0.3
90377,0,0.32
90378,0,0.1
90379,0,0.1
90380,0,0.2
90381,0,0.1
90382,0,0.12
90383,0,0.04
90384,0,0.14
90385,0,0.34
90386,0,0.42
90387,1,0.6
90388,0,0.2
90389,0,0.22
90390,0,0.34
90391,0,0.28
90392,0,0.1
90393,0,0.07
90394,1,0.52
90395,1,0.64
90396,0,0.32
90397,0,0.27
90398,0,0.08
90399,0,0.11
90400,0,0.07
90401,0,0.3
90402,0,0.02
90403,0,0.23
90404,0,0.14
90405,0,0.04
90406,0,0.2
90407,0,0.04
90408,1,0.66
90409,0,0.12
90410,0,0.18
90411,0,0.32
90412,0,0.1
90413,0,0.25
90414,1,0.58
90415,0,0.12
90416,0,0.16
90417,0,0.08
90418,0,0.22
90419,0,0.14
90420,0,0.16
90421,0,0.34
90422,0,0.12
90423,0,0.06
90424,0,0.29
90425,0,0.15
90426,0,0.28
90427,0,0.13
90428,1,0.74
90429,0,0.0
90430,0,0.34
90431,0,0.16
90432,0,0.26
90433,1,0.6
90434,0,0.26
90435,0,0.03
90436,0,0.1
90437,0,0.24
90438,0,0.13
90439,0,0.41
90440,0,0.06
90441,0,0.14
90442,0,0.22
90443,0,0.18
90444,0,0.22
90445,0,0.39
90446,0,0.04
90447,0,0.38
90448,0,0.08
90449,0,0.2
90450,0,0.3
90451,0,0.38
90452,0,0.06
90453,0,0.16
90454,0,0.18
90455,0,0.28
90456,0,0.26
90457,0,0.2
90458,0,0.29
90459,0,0.08
90460,0,0.24
90461,0,0.36
90462,0,0.12
90463,0,0.08
90464,0,0.1
90465,0,0.26
90466,0,0.26
90467,1,0.53
90468,0,0.0
90469,0,0.28
90470,0,0.19
90471,0,0.18
90472,0,0.01
90473,1,0.64
90474,0,0.1
90475,0,0.34
90476,0,0.1
90477,0,0.36
90478,0,0.19
90479,0,0.36
90480,0,0.19
90481,1,0.66
90482,0,0.16
90483,0,0.17
90484,1,0.57
90485,0,0.1
90486,0,0.22
90487,0,0.0
90488,0,0.18
90489,0,0.42
90490,0,0.26
90491,0,0.1
90492,0,0.08
90493,0,0.2
90494,0,0.04
90495,1,0.52
90496,0,0.1
90497,0,0.16
90498,0,0.26
90499,0,0.3
90500,0,0.22
90501,0,0.04
90502,0,0.12
90503,0,0.14
90504,0,0.36
90505,0,0.18
90506,0,0.21
90507,0,0.36
90508,0,0.24
90509,0,0.19
90510,0,0.38
90511,0,0.31
90512,0,0.1
90513,0,0.17
90514,0,0.19
90515,0,0.14
90516,0,0.2
90517,0,0.18
90518,0,0.26
90519,0,0.34
90520,0,0.16
90521,1,0.64
90522,0,0.32
90523,0,0.32
90524,0,0.21
90525,0,0.38
90526,0,0.4
90527,0,0.02
90528,0,0.24
90529,0,0.1
90530,0,0.21
90531,0,0.17
90532,0,0.28
90533,0,0.12
90534,0,0.46
90535,0,0.14
90536,0,0.03
90537,0,0.23
90538,0,0.1
90539,0,0.34
90540,0,0.24
90541,0,0.48
90542,0,0.16
90543,0,0.2
90544,0,0.28
90545,0,0.06
90546,0,0.26
90547,0,0.14
90548,0,0.2
90549,0,0.2
90550,0,0.18
90551,0,0.32
90552,0,0.19
90553,0,0.22
90554,0,0.15
90555,0,0.22
90556,1,0.54
90557,0,0.23
90558,0,0.14
90559,0,0.18
90560,0,0.24
90561,0,0.32
90562,0,0.3
90563,0,0.35
90564,1,0.72
90565,0,0.28
90566,0,0.34
90567,0,0.16
90568,0,0.08
90569,0,0.08
90570,1,0.61
90571,0,0.24
90572,0,0.19
90573,0,0.1
90574,0,0.06
90575,0,0.18
90576,0,0.4
90577,0,0.28
90578,0,0.27
90579,0,0.2
90580,1,0.64
90581,0,0.18
90582,0,0.12
90583,0,0.48
90584,0,0.2
90585,0,0.27
90586,0,0.36
90587,0,0.27
90588,0,0.1
90589,0,0.32
90590,0,0.06
90591,0,0.28
90592,0,0.13
90593,0,0.22
90594,0,0.28
90595,0,0.23
90596,0,0.0
90597,0,0.22
90598,0,0.14
90599,1,0.56
90600,0,0.02
90601,0,0.24
90602,1,0.52
90603,0,0.17
90604,0,0.2
90605,0,0.23
90606,0,0.07
90607,0,0.24
90608,0,0.23
90609,0,0.46
90610,0,0.26
90611,0,0.19
90612,0,0.16
90613,0,0.34
90614,0,0.23
90615,0,0.2
90616,0,0.14
90617,0,0.2
90618,0,0.06
90619,0,0.23
90620,0,0.3
90621,0,0.27
90622,1,0.78
90623,0,0.27
90624,0,0.24
90625,0,0.15
90626,0,0.22
90627,0,0.24
90628,0,0.12
90629,0,0.18
90630,1,0.76
90631,0,0.16
90632,0,0.2
90633,0,0.11
90634,0,0.23
90635,0,0.14
90636,0,0.29
90637,1,0.51
90638,1,0.52
90639,0,0.21
90640,0,0.26
90641,0,0.07
90642,0,0.32
90643,0,0.22
90644,0,0.06
90645,0,0.34
90646,0,0.28
90647,0,0.32
90648,0,0.24
90649,0,0.06
90650,0,0.32
90651,0,0.48
90652,0,0.23
90653,0,0.28
90654,0,0.2
90655,0,0.24
90656,0,0.37
90657,0,0.27
90658,0,0.25
90659,0,0.19
90660,0,0.25
90661,0,0.16
90662,0,0.24
90663,0,0.12
90664,0,0.3
90665,0,0.44
90666,0,0.12
90667,0,0.32
90668,0,0.38
90669,0,0.46
90670,0,0.16
90671,0,0.14
90672,0,0.17
90673,0,0.41
90674,0,0.04
90675,0,0.01
90676,0,0.28
90677,0,0.32
90678,1,0.74
90679,0,0.14
90680,0,0.41
90681,0,0.37
90682,1,0.68
90683,0,0.27
90684,1,0.54
90685,1,0.69
90686,0,0.28
90687,0,0.3
90688,0,0.3
90689,0,0.4
90690,0,0.26
90691,1,0.6
90692,0,0.34
90693,1,0.58
90694,0,0.47
90695,0,0.48
90696,0,0.34
90697,1,0.82
90698,0,0.38
90699,0,0.14
90700,0,0.3
90701,0,0.36
90702,0,0.12
90703,0,0.32
90704,0,0.16
90705,0,0.2
90706,0,0.14
90707,1,0.61
90708,1,0.64
90709,0,0.34
90710,0,0.18
90711,0,0.28
90712,0,0.31
90713,0,0.34
90714,0,0.33
90715,0,0.14
90716,0,0.07
90717,0,0.21
90718,0,0.31
90719,0,0.38
90720,0,0.32
90721,0,0.22
90722,0,0.18
90723,0,0.21
90724,0,0.17
90725,0,0.4
90726,0,0.02
90727,0,0.16
90728,0,0.2
90729,0,0.17
90730,1,0.65
90731,0,0.06
90732,0,0.4
90733,0,0.17
90734,0,0.18
90735,0,0.36
90736,0,0.13
90737,0,0.05
90738,0,0.14
90739,0,0.26
90740,0,0.1
90741,0,0.32
90742,0,0.06
90743,0,0.24
90744,0,0.05
90745,0,0.32
90746,0,0.39
90747,0,0.13
90748,0,0.14
90749,0,0.22
90750,1,0.56
90751,1,0.52
90752,0,0.06
90753,0,0.26
90754,0,0.33
90755,0,0.09
90756,0,0.27
90757,0,0.22
90758,0,0.36
90759,0,0.28
90760,0,0.34
90761,0,0.16
90762,0,0.14
90763,0,0.04
90764,1,0.58
90765,0,0.16
90766,0,0.25
90767,0,0.43
90768,0,0.23
90769,0,0.06
90770,0,0.24
90771,0,0.12
90772,0,0.24
90773,0,0.16
90774,0,0.11
90775,0,0.3
90776,0,0.18
90777,0,0.29
90778,0,0.13
90779,0,0.12
90780,0,0.18
90781,0,0.22
90782,0,0.37
90783,0,0.26
90784,0,0.02
90785,0,0.2
90786,0,0.11
90787,0,0.3
90788,0,0.16
90789,0,0.07
90790,1,0.74
90791,0,0.07
90792,0,0.34
90793,0,0.12
90794,0,0.15
90795,0,0.19
90796,1,0.57
90797,0,0.14
90798,0,0.2
90799,0,0.06
90800,0,0.15
90801,0,0.22
90802,0,0.08
90803,0,0.24
90804,0,0.2
90805,0,0.14
90806,0,0.16
90807,0,0.49
90808,1,0.64
90809,1,0.52
90810,0,0.2
90811,0,0.06
90812,1,0.58
90813,0,0.22
90814,0,0.4
90815,0,0.11
90816,0,0.29
90817,0,0.44
90818,1,0.64
90819,0,0.07
90820,0,0.12
90821,0,0.2
90822,0,0.2
90823,0,0.2
90824,0,0.0
90825,0,0.24
90826,0,0.27
90827,0,0.22
90828,0,0.14
90829,1,0.65
90830,0,0.22
90831,0,0.15
90832,0,0.12
90833,0,0.46
90834,0,0.02
90835,0,0.2
90836,0,0.22
90837,0,0.2
90838,0,0.26
90839,0,0.23
90840,1,0.64
90841,1,0.58
90842,0,0.2
90843,0,0.4
90844,0,0.22
90845,0,0.22
90846,0,0.01
90847,1,0.62
90848,0,0.14
90849,0,0.17
90850,0,0.18
90851,0,0.08
90852,0,0.12
90853,0,0.34
90854,0,0.24
90855,1,0.72
90856,0,0.34
90857,0,0.16
90858,0,0.22
90859,0,0.04
90860,0,0.49
90861,0,0.17
90862,0,0.16
90863,0,0.16
90864,0,0.31
90865,0,0.02
90866,0,0.17
90867,0,0.3
90868,0,0.18
90869,0,0.32
90870,0,0.26
90871,0,0.36
90872,0,0.12
90873,0,0.03
90874,0,0.08
90875,0,0.19
90876,0,0.1
90877,0,0.28
90878,0,0.16
90879,0,0.32
90880,0,0.3
90881,0,0.26
90882,0,0.2
90883,1,0.61
90884,0,0.18
90885,0,0.1
90886,1,0.67
90887,0,0.14
90888,0,0.33
90889,0,0.35
90890,0,0.2
90891,0,0.5
90892,0,0.34
90893,1,0.52
90894,0,0.06
90895,0,0.1
90896,1,0.56
90897,0,0.22
90898,0,0.34
90899,0,0.04
90900,1,0.66
90901,0,0.16
90902,0,0.44
90903,0,0.3
90904,0,0.14
90905,0,0.39
90906,0,0.11
90907,0,0.1
90908,0,0.14
90909,0,0.07
90910,0,0.19
90911,0,0.28
90912,0,0.11
90913,0,0.35
90914,0,0.06
90915,0,0.16
90916,0,0.15
90917,0,0.26
90918,0,0.14
90919,0,0.07
90920,0,0.42
90921,0,0.19
90922,0,0.27
90923,0,0.27
90924,0,0.42
90925,1,0.64
90926,0,0.28
90927,0,0.32
90928,0,0.42
90929,0,0.18
90930,0,0.28
90931,0,0.24
90932,0,0.25
90933,0,0.29
90934,0,0.19
90935,0,0.36
90936,0,0.34
90937,0,0.12
90938,0,0.44
90939,1,0.55
90940,0,0.4
90941,0,0.06
90942,0,0.1
90943,0,0.24
90944,0,0.1
90945,0,0.18
90946,0,0.08
90947,0,0.24
90948,0,0.2
90949,0,0.02
90950,0,0.12
90951,0,0.48
90952,0,0.13
90953,0,0.23
90954,0,0.3
90955,0,0.04
90956,0,0.13
90957,0,0.26
90958,0,0.18
90959,0,0.16
90960,0,0.28
90961,0,0.22
90962,0,0.36
90963,0,0.3
90964,0,0.36
90965,0,0.16
90966,0,0.22
90967,0,0.06
90968,0,0.22
90969,0,0.33
90970,0,0.26
90971,1,0.61
90972,0,0.36
90973,0,0.2
90974,0,0.19
90975,0,0.48
90976,0,0.12
90977,1,0.64
90978,0,0.32
90979,0,0.4
90980,0,0.32
90981,0,0.02
90982,0,0.2
90983,0,0.4
90984,0,0.19
90985,0,0.16
90986,1,0.57
90987,0,0.22
90988,0,0.19
90989,0,0.15
90990,0,0.1
90991,0,0.12
90992,0,0.2
90993,0,0.28
90994,0,0.25
90995,0,0.11
90996,0,0.16
90997,0,0.05
90998,0,0.45
90999,0,0.16
91000,0,0.01
91001,0,0.27
91002,0,0.16
91003,0,0.03
91004,0,0.14
91005,0,0.14
91006,0,0.06
91007,0,0.24
91008,0,0.12
91009,1,0.56
91010,0,0.29
91011,0,0.26
91012,0,0.16
91013,1,0.55
91014,0,0.07
91015,0,0.1
91016,0,0.14
91017,0,0.37
91018,0,0.18
91019,0,0.41
91020,0,0.14
91021,0,0.24
91022,0,0.28
91023,0,0.27
91024,0,0.18
91025,0,0.2
91026,0,0.21
91027,0,0.36
91028,0,0.24
91029,0,0.26
91030,0,0.18
91031,0,0.24
91032,0,0.02
91033,0,0.02
91034,0,0.03
91035,1,0.71
91036,0,0.12
91037,0,0.22
91038,0,0.28
91039,1,0.61
91040,0,0.1
91041,0,0.22
91042,0,0.19
91043,0,0.07
91044,0,0.14
91045,0,0.18
91046,0,0.14
91047,0,0.16
91048,0,0.19
91049,0,0.22
91050,0,0.02
91051,0,0.3
91052,0,0.1
91053,0,0.42
91054,0,0.3
91055,0,0.19
91056,0,0.2
91057,0,0.2
91058,0,0.03
91059,0,0.25
91060,0,0.17
91061,0,0.32
91062,0,0.23
91063,0,0.44
91064,0,0.31
91065,0,0.18
91066,0,0.08
91067,0,0.35
91068,0,0.1
91069,1,0.68
91070,0,0.02
91071,1,0.56
91072,0,0.27
91073,1,0.6
91074,1,0.56
91075,0,0.12
91076,0,0.18
91077,0,0.19
91078,0,0.18
91079,1,0.7
91080,0,0.3
91081,0,0.13
91082,0,0.0
91083,0,0.16
91084,0,0.16
91085,0,0.3
91086,0,0.18
91087,0,0.26
91088,0,0.13
91089,0,0.24
91090,0,0.27
91091,0,0.34
91092,0,0.13
91093,0,0.11
91094,0,0.2
91095,0,0.3
91096,0,0.29
91097,0,0.32
91098,0,0.35
91099,0,0.27
91100,0,0.13
91101,0,0.28
91102,0,0.12
91103,0,0.12
91104,0,0.06
91105,0,0.11
91106,0,0.19
91107,0,0.26
91108,0,0.09
91109,1,0.72
91110,0,0.25
91111,0,0.02
91112,0,0.12
91113,0,0.18
91114,0,0.17
91115,0,0.28
91116,0,0.4
91117,0,0.24
91118,0,0.15
91119,0,0.1
91120,0,0.16
91121,0,0.35
91122,0,0.02
91123,0,0.3
91124,0,0.19
91125,0,0.21
91126,0,0.28
91127,0,0.22
91128,0,0.38
91129,0,0.26
91130,0,0.38
91131,0,0.18
91132,0,0.14
91133,0,0.24
91134,0,0.2
91135,0,0.14
91136,0,0.16
91137,0,0.25
91138,0,0.14
91139,0,0.16
91140,1,0.51
91141,0,0.04
91142,0,0.36
91143,0,0.28
91144,0,0.28
91145,0,0.28
91146,0,0.3
91147,1,0.67
91148,0,0.14
91149,0,0.28
91150,0,0.13
91151,0,0.12
91152,0,0.14
91153,0,0.2
91154,0,0.11
91155,0,0.14
91156,0,0.04
91157,0,0.24
91158,0,0.14
91159,0,0.22
91160,0,0.24
91161,0,0.2
91162,0,0.32
91163,0,0.18
91164,0,0.07
91165,0,0.31
91166,0,0.36
91167,0,0.4
91168,0,0.28
91169,0,0.14
91170,0,0.32
91171,0,0.15
91172,0,0.24
91173,0,0.4
91174,0,0.18
91175,0,0.24
91176,0,0.04
91177,0,0.18
91178,0,0.04
91179,0,0.2
91180,0,0.25
91181,0,0.32
91182,0,0.2
91183,0,0.02
91184,0,0.16
91185,0,0.02
91186,0,0.2
91187,0,0.16
91188,0,0.4
91189,0,0.04
91190,0,0.18
91191,0,0.39
91192,0,0.2
91193,0,0.26
91194,0,0.03
91195,0,0.22
91196,0,0.46
91197,0,0.22
91198,0,0.32
91199,0,0.18
91200,0,0.38
91201,0,0.13
91202,0,0.14
91203,0,0.12
91204,0,0.19
91205,0,0.28
91206,0,0.34
91207,0,0.3
91208,0,0.49
91209,0,0.24
91210,0,0.14
91211,0,0.1
91212,0,0.16
91213,0,0.26
91214,0,0.02
91215,0,0.02
91216,0,0.2
91217,0,0.39
91218,0,0.16
91219,0,0.04
91220,0,0.24
91221,1,0.58
91222,0,0.3
91223,0,0.16
91224,1,0.62
91225,0,0.02
91226,0,0.02
91227,0,0.17
91228,1,0.6
91229,0,0.34
91230,0,0.22
91231,0,0.32
91232,0,0.14
91233,0,0.1
91234,0,0.24
91235,0,0.07
91236,0,0.28
91237,0,0.24
91238,0,0.14
91239,0,0.18
91240,0,0.28
91241,1,0.54
91242,0,0.1
91243,0,0.34
91244,0,0.02
91245,0,0.15
91246,0,0.2
91247,0,0.39
91248,0,0.2
91249,0,0.36
91250,0,0.32
91251,0,0.12
91252,0,0.21
91253,0,0.18
91254,0,0.01
91255,1,0.72
91256,1,0.68
91257,0,0.34
91258,1,0.6
91259,0,0.26
91260,0,0.49
91261,0,0.2
91262,0,0.26
91263,0,0.35
91264,0,0.32
91265,0,0.25
91266,0,0.03
91267,1,0.62
91268,0,0.29
91269,0,0.38
91270,0,0.07
91271,0,0.2
91272,0,0.24
91273,0,0.45
91274,0,0.38
91275,0,0.28
91276,0,0.06
91277,0,0.26
91278,1,0.57
91279,0,0.36
91280,1,0.56
91281,0,0.24
91282,0,0.41
91283,0,0.18
91284,0,0.11
91285,0,0.21
91286,0,0.12
91287,0,0.4
91288,0,0.03
91289,0,0.1
91290,0,0.2
91291,0,0.1
91292,0,0.44
91293,0,0.1
91294,1,0.68
91295,0,0.1
91296,0,0.18
91297,0,0.02
91298,0,0.14
91299,0,0.32
91300,0,0.23
91301,0,0.32
91302,0,0.08
91303,0,0.5
91304,0,0.2
91305,0,0.15
91306,1,0.56
91307,0,0.2
91308,0,0.18
91309,0,0.18
91310,0,0.03
91311,0,0.18
91312,0,0.27
91313,0,0.24
91314,0,0.26
91315,0,0.31
91316,1,0.62
91317,0,0.24
91318,0,0.19
91319,0,0.46
91320,1,0.67
91321,0,0.06
91322,0,0.06
91323,0,0.18
91324,0,0.15
91325,0,0.24
91326,0,0.25
91327,0,0.26
91328,0,0.31
91329,1,0.56
91330,0,0.32
91331,0,0.3
91332,0,0.2
91333,0,0.17
91334,0,0.14
91335,0,0.12
91336,0,0.26
91337,0,0.36
91338,0,0.1
91339,0,0.18
91340,0,0.18
91341,0,0.14
91342,0,0.02
91343,0,0.26
91344,0,0.16
91345,0,0.2
91346,0,0.2
91347,0,0.14
91348,1,0.75
91349,0,0.22
91350,0,0.36
91351,0,0.04
91352,0,0.22
91353,0,0.1
91354,0,0.13
91355,0,0.28
91356,0,0.38
91357,0,0.2
91358,1,0.7
91359,0,0.24
91360,0,0.36
91361,0,0.14
91362,0,0.3
91363,0,0.18
91364,0,0.44
91365,0,0.16
91366,0,0.1
91367,0,0.04
91368,0,0.27
91369,0,0.13
91370,0,0.11
91371,0,0.29
91372,0,0.28
91373,0,0.06
91374,0,0.01
91375,0,0.44
91376,1,0.5
91377,0,0.21
91378,0,0.14
91379,0,0.14
91380,0,0.14
91381,0,0.15
91382,0,0.08
91383,0,0.26
91384,1,0.78
91385,0,0.41
91386,0,0.47
91387,0,0.24
91388,0,0.11
91389,0,0.19
91390,0,0.34
91391,0,0.07
91392,0,0.3
91393,1,0.56
91394,0,0.36
91395,0,0.18
91396,0,0.12
91397,1,0.62
91398,0,0.09
91399,0,0.18
91400,1,0.77
91401,0,0.06
91402,0,0.4
91403,1,0.66
91404,1,0.66
91405,0,0.47
91406,0,0.25
91407,0,0.2
91408,1,0.66
91409,0,0.18
91410,0,0.18
91411,0,0.25
91412,0,0.18
91413,0,0.18
91414,0,0.28
91415,0,0.16
91416,0,0.14
91417,0,0.08
91418,0,0.14
91419,1,0.57
91420,0,0.46
91421,0,0.38
91422,0,0.32
91423,0,0.22
91424,0,0.21
91425,0,0.13
91426,0,0.3
91427,0,0.08
91428,0,0.18
91429,0,0.3
91430,0,0.25
91431,0,0.44
91432,0,0.3
91433,0,0.09
91434,0,0.34
91435,0,0.25
91436,0,0.03
91437,0,0.44
91438,0,0.03
91439,0,0.18
91440,0,0.23
91441,0,0.3
91442,0,0.0
91443,0,0.4
91444,0,0.26
91445,1,0.59
91446,0,0.14
91447,0,0.24
91448,0,0.14
91449,0,0.24
91450,0,0.24
91451,0,0.19
91452,0,0.26
91453,0,0.13
91454,1,0.5
91455,0,0.2
91456,0,0.17
91457,0,0.17
91458,0,0.22
91459,0,0.24
91460,0,0.31
91461,0,0.11
91462,0,0.35
91463,1,0.6
91464,0,0.24
91465,1,0.7
91466,0,0.21
91467,0,0.26
91468,0,0.16
91469,1,0.56
91470,0,0.38
91471,0,0.37
91472,0,0.09
91473,0,0.22
91474,0,0.28
91475,0,0.03
91476,0,0.16
91477,0,0.12
91478,0,0.2
91479,0,0.26
91480,0,0.2
91481,0,0.18
91482,0,0.16
91483,0,0.22
91484,0,0.26
91485,0,0.37
91486,0,0.23
91487,0,0.3
91488,0,0.08
91489,1,0.66
91490,1,0.56
91491,0,0.14
91492,0,0.22
91493,0,0.06
91494,0,0.38
91495,0,0.11
91496,0,0.4
91497,1,0.66
91498,0,0.5
91499,0,0.18
91500,1,0.59
91501,0,0.28
91502,1,0.57
91503,0,0.17
91504,0,0.0
91505,0,0.0
91506,0,0.22
91507,0,0.02
91508,0,0.21
91509,0,0.24
91510,0,0.25
91511,0,0.16
91512,1,0.62
91513,0,0.22
91514,0,0.12
91515,0,0.37
91516,0,0.16
91517,0,0.06
91518,0,0.18
91519,0,0.17
91520,0,0.22
91521,0,0.37
91522,0,0.15
91523,0,0.25
91524,0,0.14
91525,0,0.49
91526,0,0.14
91527,0,0.07
91528,0,0.44
91529,0,0.32
91530,0,0.19
91531,0,0.28
91532,0,0.04
91533,1,0.56
91534,0,0.14
91535,0,0.26
91536,0,0.32
91537,0,0.38
91538,0,0.2
91539,0,0.02
91540,0,0.32
91541,0,0.02
91542,0,0.01
91543,1,0.56
91544,0,0.12
91545,0,0.12
91546,0,0.21
91547,0,0.2
91548,0,0.08
91549,0,0.1
91550,0,0.03
